movieId,title,genres,genre_list,genre_text,clean_title,year,tag_text,content_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",adventure animation children comedy fantasy,Toy Story,1995.0,pixar pixar fun,adventure animation children comedy fantasy adventure animation children comedy fantasy pixar pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",adventure children fantasy,Jumanji,1995.0,fantasy magic board game robin williams game,adventure children fantasy adventure children fantasy fantasy magic board game robin williams game
3,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']",comedy romance,Grumpier Old Men,1995.0,moldy old,comedy romance comedy romance moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",comedy drama romance,Waiting to Exhale,1995.0,,comedy drama romance comedy drama romance
5,Father of the Bride Part II (1995),Comedy,['Comedy'],comedy,Father of the Bride Part II,1995.0,pregnancy remake,comedy comedy pregnancy remake
6,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",action crime thriller,Heat,1995.0,,action crime thriller action crime thriller
7,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']",comedy romance,Sabrina,1995.0,remake,comedy romance comedy romance remake
8,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']",adventure children,Tom and Huck,1995.0,,adventure children adventure children
9,Sudden Death (1995),Action,['Action'],action,Sudden Death,1995.0,,action action
10,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",action adventure thriller,GoldenEye,1995.0,,action adventure thriller action adventure thriller
11,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",comedy drama romance,"American President, The",1995.0,politics president,comedy drama romance comedy drama romance politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']",comedy horror,Dracula: Dead and Loving It,1995.0,,comedy horror comedy horror
13,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']",adventure animation children,Balto,1995.0,,adventure animation children adventure animation children
14,Nixon (1995),Drama,['Drama'],drama,Nixon,1995.0,politics president,drama drama politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']",action adventure romance,Cutthroat Island,1995.0,,action adventure romance action adventure romance
16,Casino (1995),Crime|Drama,"['Crime', 'Drama']",crime drama,Casino,1995.0,mafia,crime drama crime drama mafia
17,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']",drama romance,Sense and Sensibility,1995.0,jane austen,drama romance drama romance jane austen
18,Four Rooms (1995),Comedy,['Comedy'],comedy,Four Rooms,1995.0,,comedy comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy'],comedy,Ace Ventura: When Nature Calls,1995.0,,comedy comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",action comedy crime drama thriller,Money Train,1995.0,,action comedy crime drama thriller action comedy crime drama thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']",comedy crime thriller,Get Shorty,1995.0,hollywood,comedy crime thriller comedy crime thriller hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",crime drama horror mystery thriller,Copycat,1995.0,serial killer,crime drama horror mystery thriller crime drama horror mystery thriller serial killer
23,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",action crime thriller,Assassins,1995.0,,action crime thriller action crime thriller
24,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']",drama scifi,Powder,1995.0,,drama scifi drama scifi
25,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']",drama romance,Leaving Las Vegas,1995.0,alcoholism,drama romance drama romance alcoholism
26,Othello (1995),Drama,['Drama'],drama,Othello,1995.0,shakespeare,drama drama shakespeare
27,Now and Then (1995),Children|Drama,"['Children', 'Drama']",children drama,Now and Then,1995.0,,children drama children drama
28,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']",drama romance,Persuasion,1995.0,jane austen,drama romance drama romance jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",adventure drama fantasy mystery scifi,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0,kidnapping,adventure drama fantasy mystery scifi adventure drama fantasy mystery scifi kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"['Crime', 'Drama']",crime drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,,crime drama crime drama
31,Dangerous Minds (1995),Drama,['Drama'],drama,Dangerous Minds,1995.0,high school teacher,drama drama high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']",mystery scifi thriller,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,mystery scifi thriller mystery scifi thriller time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending
34,Babe (1995),Children|Drama,"['Children', 'Drama']",children drama,Babe,1995.0,animal movie pigs villain nonexistent or not needed for good story,children drama children drama animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']",crime drama,Dead Man Walking,1995.0,death penalty nun,crime drama crime drama death penalty nun
38,It Takes Two (1995),Children|Comedy,"['Children', 'Comedy']",children comedy,It Takes Two,1995.0,twins,children comedy children comedy twins
39,Clueless (1995),Comedy|Romance,"['Comedy', 'Romance']",comedy romance,Clueless,1995.0,chick flick funny paul rudd quotable seen more than once emma jane austen,comedy romance comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen
40,"Cry, the Beloved Country (1995)",Drama,['Drama'],drama,"Cry, the Beloved Country",1995.0,south africa,drama drama south africa
41,Richard III (1995),Drama|War,"['Drama', 'War']",drama war,Richard III,1995.0,shakespeare,drama war drama war shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,"['Action', 'Crime', 'Drama']",action crime drama,Dead Presidents,1995.0,,action crime drama action crime drama
43,Restoration (1995),Drama,['Drama'],drama,Restoration,1995.0,england,drama drama england
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']",action adventure fantasy,Mortal Kombat,1995.0,,action adventure fantasy action adventure fantasy
45,To Die For (1995),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']",comedy drama thriller,To Die For,1995.0,journalism,comedy drama thriller comedy drama thriller journalism
46,How to Make an American Quilt (1995),Drama|Romance,"['Drama', 'Romance']",drama romance,How to Make an American Quilt,1995.0,wedding,drama romance drama romance wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['Mystery', 'Thriller']",mystery thriller,Seven (a.k.a. Se7en),1995.0,mystery twist ending serial killer,mystery thriller mystery thriller mystery twist ending serial killer
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",animation children drama musical romance,Pocahontas,1995.0,,animation children drama musical romance animation children drama musical romance
